# Grammatical Features
#Locale	ID	Feature	Usage	Values
Amharic	am	grammaticalCase	general	nominative, accusative
Amharic	am	grammaticalDefiniteness	general	indefinite, definite

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} ቀን	<div class='cldr_example'><span class='cldr_substituted'>1</span> ቀን</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ቀን</div>
Plural	other	{0} ቀናት	<div class='cldr_example'><span class='cldr_substituted'>2</span> ቀናት</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ቀናት</div>
Case (for measurement units)	nominative	የዩኬ {0} የሻይ ማንኪያ	<div class='cldr_example'>የዩኬ <span class='cldr_substituted'>1 mol</span> የሻይ ማንኪያ</div><div class='cldr_example'>❌  የዩኬ <span class='cldr_substituted'>1 mole</span> የሻይ ማንኪያ</div>
Case (for measurement units)	accusative	{0} ዩኬ የሻይ ማንኪያው	<div class='cldr_example'><span class='cldr_substituted'>1 mole</span> ዩኬ የሻይ ማንኪያው</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 mol</span> ዩኬ የሻይ ማንኪያው</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
area	square-inch • ( = 6.4516 cm²)	nominative	{0} ኢንች²	የዩኬ 1 ኢንች² የሻይ ማንኪያ	{0} ኢንች²	የዩኬ 3 ኢንች² የሻይ ማንኪያ
area	square-inch • ( = 6.4516 cm²)	accusative	{0} ኢንች²	1 ኢንች² ዩኬ የሻይ ማንኪያው	{0} ኢንች²	3 ኢንች² ዩኬ የሻይ ማንኪያው
area	square-foot • ( = 929.0304 cm²)	nominative	{0} ካሬ ጫማ	የዩኬ 1 ካሬ ጫማ የሻይ ማንኪያ	{0} ካሬ ጫማ	የዩኬ 3 ካሬ ጫማ የሻይ ማንኪያ
area	square-foot • ( = 929.0304 cm²)	accusative	{0} ካሬ ጫማ	1 ካሬ ጫማ ዩኬ የሻይ ማንኪያው	{0} ካሬ ጫማ	3 ካሬ ጫማ ዩኬ የሻይ ማንኪያው
area	square-yard • ( = 0.83612736 m²)	nominative	{0} yd²	የዩኬ 1 yd² የሻይ ማንኪያ	{0} yd²	የዩኬ 3 yd² የሻይ ማንኪያ
area	square-yard • ( = 0.83612736 m²)	accusative	{0} yd²	1 yd² ዩኬ የሻይ ማንኪያው	{0} yd²	3 yd² ዩኬ የሻይ ማንኪያው
area	square meters	nominative	{0} ካሬ ሜትር	የዩኬ 1 ካሬ ሜትር የሻይ ማንኪያ	{0} ካሬ ሜትር	የዩኬ 3 ካሬ ሜትር የሻይ ማንኪያ
area	square meters	accusative	{0} ካሬ ሜትር	1 ካሬ ሜትር ዩኬ የሻይ ማንኪያው	{0} ካሬ ሜትር	3 ካሬ ሜትር ዩኬ የሻይ ማንኪያው
area	acre • ( = 4046.8564224 m²)	nominative	{0} ኤክር	የዩኬ 1 ኤክር የሻይ ማንኪያ	{0} ኤክር	የዩኬ 3 ኤክር የሻይ ማንኪያ
area	acre • ( = 4046.8564224 m²)	accusative	{0} ኤክር	1 ኤክር ዩኬ የሻይ ማንኪያው	{0} ኤክር	3 ኤክር ዩኬ የሻይ ማንኪያው
area	hectares	nominative	{0} ሄክታር	የዩኬ 1 ሄክታር የሻይ ማንኪያ	{0} ሄክታር	የዩኬ 3 ሄክታር የሻይ ማንኪያ
area	hectares	accusative	{0} ሄክታር	1 ሄክታር ዩኬ የሻይ ማንኪያው	{0} ሄክታር	3 ሄክታር ዩኬ የሻይ ማንኪያው
area	square kilometers	nominative	{0} ካሬ ኪሎሜትር	የዩኬ 1 ካሬ ኪሎሜትር የሻይ ማንኪያ	{0} ካሬ ኪሎሜትር	የዩኬ 3 ካሬ ኪሎሜትር የሻይ ማንኪያ
area	square kilometers	accusative	{0} ካሬ ኪሎሜትር	1 ካሬ ኪሎሜትር ዩኬ የሻይ ማንኪያው	{0} ካሬ ኪሎሜትር	3 ካሬ ኪሎሜትር ዩኬ የሻይ ማንኪያው
area	square-mile • ( = 2.589988110336 km²)	nominative	{0} ካሬ ማይል	የዩኬ 1 ካሬ ማይል የሻይ ማንኪያ	{0} ካሬ ማይል	የዩኬ 3 ካሬ ማይል የሻይ ማንኪያ
area	square-mile • ( = 2.589988110336 km²)	accusative	{0} ካሬ ማይል	1 ካሬ ማይል ዩኬ የሻይ ማንኪያው	{0} ካሬ ማይል	3 ካሬ ማይል ዩኬ የሻይ ማንኪያው
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	nominative	{0} mmol/L	የዩኬ 1 mmol/L የሻይ ማንኪያ	{0} mmol/L	የዩኬ 3 mmol/L የሻይ ማንኪያ
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	accusative	{0} mmol/L	1 mmol/L ዩኬ የሻይ ማንኪያው	{0} mmol/L	3 mmol/L ዩኬ የሻይ ማንኪያው
consumption	liters per 100 kilometers	nominative	{0} ሊትር በ100 ኪሎሜትሮች	የዩኬ 1 ሊትር በ100 ኪሎሜትሮች የሻይ ማንኪያ	{0} ሊትሮች በ100 ኪሎሜትሮች	የዩኬ 3 ሊትሮች በ100 ኪሎሜትሮች የሻይ ማንኪያ
consumption	liters per 100 kilometers	accusative	{0} ሊትር በ100 ኪሎሜትሮች	1 ሊትር በ100 ኪሎሜትሮች ዩኬ የሻይ ማንኪያው	{0} ሊትሮች በ100 ኪሎሜትሮች	3 ሊትሮች በ100 ኪሎሜትሮች ዩኬ የሻይ ማንኪያው
consumption	liters per kilometer	nominative	{0} ሊ/ኪሜ	የዩኬ 1 ሊ/ኪሜ የሻይ ማንኪያ	{0} ሊ/ኪሜ	የዩኬ 3 ሊ/ኪሜ የሻይ ማንኪያ
consumption	liters per kilometer	accusative	{0} ሊ/ኪሜ	1 ሊ/ኪሜ ዩኬ የሻይ ማንኪያው	{0} ሊ/ኪሜ	3 ሊ/ኪሜ ዩኬ የሻይ ማንኪያው
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	nominative	{0} mpg Imp.	የዩኬ 1 mpg Imp. የሻይ ማንኪያ	{0} mpg Imp.	የዩኬ 3 mpg Imp. የሻይ ማንኪያ
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	accusative	{0} mpg Imp.	1 mpg Imp. ዩኬ የሻይ ማንኪያው	{0} mpg Imp.	3 mpg Imp. ዩኬ የሻይ ማንኪያው
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	nominative	{0} mpg	የዩኬ 1 mpg የሻይ ማንኪያ	{0} mpg	የዩኬ 3 mpg የሻይ ማንኪያ
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	accusative	{0} mpg	1 mpg ዩኬ የሻይ ማንኪያው	{0} mpg	3 mpg ዩኬ የሻይ ማንኪያው
digital	bits	nominative	{0} ቢት	የዩኬ 1 ቢት የሻይ ማንኪያ	{0} ቢት	የዩኬ 3 ቢት የሻይ ማንኪያ
digital	bits	accusative	{0} ቢት	1 ቢት ዩኬ የሻይ ማንኪያው	{0} ቢት	3 ቢት ዩኬ የሻይ ማንኪያው
digital	byte • ( = 8 bit)	nominative	{0} ባይት	የዩኬ 1 ባይት የሻይ ማንኪያ	{0} ባይት	የዩኬ 3 ባይት የሻይ ማንኪያ
digital	byte • ( = 8 bit)	accusative	{0} ባይት	1 ባይት ዩኬ የሻይ ማንኪያው	{0} ባይት	3 ባይት ዩኬ የሻይ ማንኪያው
digital	kilobits	nominative	{0} ኪሎባይት	የዩኬ 1 ኪሎባይት የሻይ ማንኪያ	{0} ኪሎባይት	የዩኬ 3 ኪሎባይት የሻይ ማንኪያ
digital	kilobits	accusative	{0} ኪሎባይት	1 ኪሎባይት ዩኬ የሻይ ማንኪያው	{0} ኪሎባይት	3 ኪሎባይት ዩኬ የሻይ ማንኪያው
digital	kilobyte • ( = 8 kb)	nominative	{0} ኪባ	የዩኬ 1 ኪባ የሻይ ማንኪያ	{0} ኪባ	የዩኬ 3 ኪባ የሻይ ማንኪያ
digital	kilobyte • ( = 8 kb)	accusative	{0} ኪባ	1 ኪባ ዩኬ የሻይ ማንኪያው	{0} ኪባ	3 ኪባ ዩኬ የሻይ ማንኪያው
digital	megabits	nominative	{0} ሜባ	የዩኬ 1 ሜባ የሻይ ማንኪያ	{0} ሜባ	የዩኬ 3 ሜባ የሻይ ማንኪያ
digital	megabits	accusative	{0} ሜባ	1 ሜባ ዩኬ የሻይ ማንኪያው	{0} ሜባ	3 ሜባ ዩኬ የሻይ ማንኪያው
digital	megabyte • ( = 8 Mb)	nominative	{0} ሜጋባይት	የዩኬ 1 ሜጋባይት የሻይ ማንኪያ	{0} ሜጋባይት	የዩኬ 3 ሜጋባይት የሻይ ማንኪያ
digital	megabyte • ( = 8 Mb)	accusative	{0} ሜጋባይት	1 ሜጋባይት ዩኬ የሻይ ማንኪያው	{0} ሜጋባይት	3 ሜጋባይት ዩኬ የሻይ ማንኪያው
digital	gigabits	nominative	{0} ጊጋባይት	የዩኬ 1 ጊጋባይት የሻይ ማንኪያ	{0} ጊጋባይት	የዩኬ 3 ጊጋባይት የሻይ ማንኪያ
digital	gigabits	accusative	{0} ጊጋባይት	1 ጊጋባይት ዩኬ የሻይ ማንኪያው	{0} ጊጋባይት	3 ጊጋባይት ዩኬ የሻይ ማንኪያው
digital	gigabyte • ( = 8 Gb)	nominative	{0} ጊባ	የዩኬ 1 ጊባ የሻይ ማንኪያ	{0} ጊባ	የዩኬ 3 ጊባ የሻይ ማንኪያ
digital	gigabyte • ( = 8 Gb)	accusative	{0} ጊባ	1 ጊባ ዩኬ የሻይ ማንኪያው	{0} ጊባ	3 ጊባ ዩኬ የሻይ ማንኪያው
digital	terabits	nominative	{0} ቴባ	የዩኬ 1 ቴባ የሻይ ማንኪያ	{0} ቴባ	የዩኬ 3 ቴባ የሻይ ማንኪያ
digital	terabits	accusative	{0} ቴባ	1 ቴባ ዩኬ የሻይ ማንኪያው	{0} ቴባ	3 ቴባ ዩኬ የሻይ ማንኪያው
digital	terabyte • ( = 8 Tb)	nominative	{0} ቴራባይት	የዩኬ 1 ቴራባይት የሻይ ማንኪያ	{0} ቴራባይት	የዩኬ 3 ቴራባይት የሻይ ማንኪያ
digital	terabyte • ( = 8 Tb)	accusative	{0} ቴራባይት	1 ቴራባይት ዩኬ የሻይ ማንኪያው	{0} ቴራባይት	3 ቴራባይት ዩኬ የሻይ ማንኪያው
digital	petabyte • ( = 8000 Tb)	nominative	{0} ፔታ ባይት	የዩኬ 1 ፔታ ባይት የሻይ ማንኪያ	{0} ፔታ ባይቶች	የዩኬ 3 ፔታ ባይቶች የሻይ ማንኪያ
digital	petabyte • ( = 8000 Tb)	accusative	{0} ፔታ ባይት	1 ፔታ ባይት ዩኬ የሻይ ማንኪያው	{0} ፔታ ባይቶች	3 ፔታ ባይቶች ዩኬ የሻይ ማንኪያው
duration	nanoseconds	nominative	{0} ናኖሰከንድ	የዩኬ 1 ናኖሰከንድ የሻይ ማንኪያ	{0} ናኖሰከንድ	የዩኬ 3 ናኖሰከንድ የሻይ ማንኪያ
duration	nanoseconds	accusative	{0} ናኖሰከንድ	1 ናኖሰከንድ ዩኬ የሻይ ማንኪያው	{0} ናኖሰከንድ	3 ናኖሰከንድ ዩኬ የሻይ ማንኪያው
duration	microseconds	nominative	{0} ማይክሮሰከንድ	የዩኬ 1 ማይክሮሰከንድ የሻይ ማንኪያ	{0} ማይክሮሰከንድ	የዩኬ 3 ማይክሮሰከንድ የሻይ ማንኪያ
duration	microseconds	accusative	{0} ማይክሮሰከንድ	1 ማይክሮሰከንድ ዩኬ የሻይ ማንኪያው	{0} ማይክሮሰከንድ	3 ማይክሮሰከንድ ዩኬ የሻይ ማንኪያው
duration	milliseconds	nominative	{0} ሚሊሰከንድ	የዩኬ 1 ሚሊሰከንድ የሻይ ማንኪያ	{0} ሚሊሰከንድ	የዩኬ 3 ሚሊሰከንድ የሻይ ማንኪያ
duration	milliseconds	accusative	{0} ሚሊሰከንድ	1 ሚሊሰከንድ ዩኬ የሻይ ማንኪያው	{0} ሚሊሰከንድ	3 ሚሊሰከንድ ዩኬ የሻይ ማንኪያው
duration	seconds	nominative	{0} ሰከንድ	የዩኬ 1 ሰከንድ የሻይ ማንኪያ	{0} ሰከንዶች	የዩኬ 3 ሰከንዶች የሻይ ማንኪያ
duration	seconds	accusative	{0} ሰከንድ	1 ሰከንድ ዩኬ የሻይ ማንኪያው	{0} ሰከንዶች	3 ሰከንዶች ዩኬ የሻይ ማንኪያው
duration	minute • ( = 60 sec)	nominative	{0} ደቂቃ	የዩኬ 1 ደቂቃ የሻይ ማንኪያ	{0} ደቂቃዎች	የዩኬ 3 ደቂቃዎች የሻይ ማንኪያ
duration	minute • ( = 60 sec)	accusative	{0} ደቂቃ	1 ደቂቃ ዩኬ የሻይ ማንኪያው	{0} ደቂቃዎች	3 ደቂቃዎች ዩኬ የሻይ ማንኪያው
duration	hour • ( = 3600 sec)	nominative	{0} ሰዓት	የዩኬ 1 ሰዓት የሻይ ማንኪያ	{0} ሰዓቶች	የዩኬ 3 ሰዓቶች የሻይ ማንኪያ
duration	hour • ( = 3600 sec)	accusative	{0} ሰዓት	1 ሰዓት ዩኬ የሻይ ማንኪያው	{0} ሰዓቶች	3 ሰዓቶች ዩኬ የሻይ ማንኪያው
duration	day • ( = 86400 sec)	nominative	{0} ቀናት	የዩኬ 1 ቀናት የሻይ ማንኪያ	{0} ቀናት	የዩኬ 3 ቀናት የሻይ ማንኪያ
duration	day • ( = 86400 sec)	accusative	{0} ቀናት	1 ቀናት ዩኬ የሻይ ማንኪያው	{0} ቀናት	3 ቀናት ዩኬ የሻይ ማንኪያው
duration	day-person • ( = 86400 sec)	nominative	{0} ቀናት	የዩኬ 1 ቀናት የሻይ ማንኪያ	{0} ቀናት	የዩኬ 3 ቀናት የሻይ ማንኪያ
duration	day-person • ( = 86400 sec)	accusative	{0} ቀናት	1 ቀናት ዩኬ የሻይ ማንኪያው	{0} ቀናት	3 ቀናት ዩኬ የሻይ ማንኪያው
duration	week • ( = 604800 sec)	nominative	{0} ሳምንት	የዩኬ 1 ሳምንት የሻይ ማንኪያ	{0} ሳምንታት	የዩኬ 3 ሳምንታት የሻይ ማንኪያ
duration	week • ( = 604800 sec)	accusative	{0} ሳምንት	1 ሳምንት ዩኬ የሻይ ማንኪያው	{0} ሳምንታት	3 ሳምንታት ዩኬ የሻይ ማንኪያው
electric-current	milliamperes	nominative	{0} mA	የዩኬ 1 mA የሻይ ማንኪያ	{0} mA	የዩኬ 3 mA የሻይ ማንኪያ
electric-current	milliamperes	accusative	{0} mA	1 mA ዩኬ የሻይ ማንኪያው	{0} mA	3 mA ዩኬ የሻይ ማንኪያው
electric-current	amperes	nominative	{0} A	የዩኬ 1 A የሻይ ማንኪያ	{0} A	የዩኬ 3 A የሻይ ማንኪያ
electric-current	amperes	accusative	{0} አምፒር	1 አምፒር ዩኬ የሻይ ማንኪያው	{0} አምፒሮች	3 አምፒሮች ዩኬ የሻይ ማንኪያው
electric-resistance	ohms	nominative	{0} Ω	የዩኬ 1 Ω የሻይ ማንኪያ	{0} Ω	የዩኬ 3 Ω የሻይ ማንኪያ
electric-resistance	ohms	accusative	{0} ohm	1 ohm ዩኬ የሻይ ማንኪያው	{0} ohms	3 ohms ዩኬ የሻይ ማንኪያው
energy	joules	nominative	{0} J	የዩኬ 1 J የሻይ ማንኪያ	{0} J	የዩኬ 3 J የሻይ ማንኪያ
energy	joules	accusative	{0} J	1 J ዩኬ የሻይ ማንኪያው	{0} J	3 J ዩኬ የሻይ ማንኪያው
energy	newton-meter • ( = 1 J)	nominative	{0} ኒ.ሜ	የዩኬ 1 ኒ.ሜ የሻይ ማንኪያ	{0} ኒ.ሜ	የዩኬ 3 ኒ.ሜ የሻይ ማንኪያ
energy	newton-meter • ( = 1 J)	accusative	{0} ኒ.ሜ	1 ኒ.ሜ ዩኬ የሻይ ማንኪያው	{0} ኒ.ሜ	3 ኒ.ሜ ዩኬ የሻይ ማንኪያው
energy	pound-force-foot • ( = 1.3558179483314004 J)	nominative	{0} lbf⋅ft	የዩኬ 1 lbf⋅ft የሻይ ማንኪያ	{0} lbf⋅ft	የዩኬ 3 lbf⋅ft የሻይ ማንኪያ
energy	pound-force-foot • ( = 1.3558179483314004 J)	accusative	{0} lbf⋅ft	1 lbf⋅ft ዩኬ የሻይ ማንኪያው	{0} lbf⋅ft	3 lbf⋅ft ዩኬ የሻይ ማንኪያው
energy	calorie • ( = 4.184 J)	nominative	{0} ካሎሪ	የዩኬ 1 ካሎሪ የሻይ ማንኪያ	{0} ካሎሪ	የዩኬ 3 ካሎሪ የሻይ ማንኪያ
energy	calorie • ( = 4.184 J)	accusative	{0} ካሎሪ	1 ካሎሪ ዩኬ የሻይ ማንኪያው	{0} ካሎሪ	3 ካሎሪ ዩኬ የሻይ ማንኪያው
energy	kilojoules	nominative	{0} kJ	የዩኬ 1 kJ የሻይ ማንኪያ	{0} kJ	የዩኬ 3 kJ የሻይ ማንኪያ
energy	kilojoules	accusative	{0} kJ	1 kJ ዩኬ የሻይ ማንኪያው	{0} kJ	3 kJ ዩኬ የሻይ ማንኪያው
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	nominative	{0} Btu	የዩኬ 1 Btu የሻይ ማንኪያ	{0} Btu	የዩኬ 3 Btu የሻይ ማንኪያ
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	accusative	{0} Btu	1 Btu ዩኬ የሻይ ማንኪያው	{0} Btu	3 Btu ዩኬ የሻይ ማንኪያው
energy	foodcalorie • ( = 4.184 kJ)	nominative	{0} ካሎሪ	የዩኬ 1 ካሎሪ የሻይ ማንኪያ	{0} ካሎሪ	የዩኬ 3 ካሎሪ የሻይ ማንኪያ
energy	foodcalorie • ( = 4.184 kJ)	accusative	{0} ካሎሪ	1 ካሎሪ ዩኬ የሻይ ማንኪያው	{0} ካሎሪ	3 ካሎሪ ዩኬ የሻይ ማንኪያው
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	nominative	{0} kWh	የዩኬ 1 kWh የሻይ ማንኪያ	{0} kWh	የዩኬ 3 kWh የሻይ ማንኪያ
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	accusative	{0} kWh	1 kWh ዩኬ የሻይ ማንኪያው	{0} kWh	3 kWh ዩኬ የሻይ ማንኪያው
energy	therm-us • ( = 105480.4 kJ)	nominative	{0} US therm	የዩኬ 1 US therm የሻይ ማንኪያ	{0} US therm	የዩኬ 3 US therm የሻይ ማንኪያ
energy	therm-us • ( = 105480.4 kJ)	accusative	{0} US therm	1 US therm ዩኬ የሻይ ማንኪያው	{0} US therm	3 US therm ዩኬ የሻይ ማንኪያው
force	newtons	nominative	{0} ኒ	የዩኬ 1 ኒ የሻይ ማንኪያ	{0} ኒ	የዩኬ 3 ኒ የሻይ ማንኪያ
force	newtons	accusative	{0} ኒውተን	1 ኒውተን ዩኬ የሻይ ማንኪያው	{0} ኒውተኖች	3 ኒውተኖች ዩኬ የሻይ ማንኪያው
force	pound-force • ( = 4.4482216152605 N)	nominative	{0} lbf	የዩኬ 1 lbf የሻይ ማንኪያ	{0} lbf	የዩኬ 3 lbf የሻይ ማንኪያ
force	pound-force • ( = 4.4482216152605 N)	accusative	{0} lbf	1 lbf ዩኬ የሻይ ማንኪያው	{0} lbf	3 lbf ዩኬ የሻይ ማንኪያው
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	nominative	{0} ኪሎዋት-ሰዓት በየ 100 ኪሎሜትሮች	የዩኬ 1 ኪሎዋት-ሰዓት በየ 100 ኪሎሜትሮች የሻይ ማንኪያ	{0} ኪሎዋት-ሰዓታት በየ 100 ኪሎሜትሮች	የዩኬ 3 ኪሎዋት-ሰዓታት በየ 100 ኪሎሜትሮች የሻይ ማንኪያ
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	accusative	{0} ኪሎዋት-ሰዓት በየ 100 ኪሎሜትሮች	1 ኪሎዋት-ሰዓት በየ 100 ኪሎሜትሮች ዩኬ የሻይ ማንኪያው	{0} ኪሎዋት-ሰዓታት በየ 100 ኪሎሜትሮች	3 ኪሎዋት-ሰዓታት በየ 100 ኪሎሜትሮች ዩኬ የሻይ ማንኪያው
frequency	hertz	nominative	{0} Hz	የዩኬ 1 Hz የሻይ ማንኪያ	{0} Hz	የዩኬ 3 Hz የሻይ ማንኪያ
frequency	hertz	accusative	{0} hertz	1 hertz ዩኬ የሻይ ማንኪያው	{0} hertz	3 hertz ዩኬ የሻይ ማንኪያው
frequency	kilohertz	nominative	{0} kHz	የዩኬ 1 kHz የሻይ ማንኪያ	{0} kHz	የዩኬ 3 kHz የሻይ ማንኪያ
frequency	kilohertz	accusative	{0} kHz	1 kHz ዩኬ የሻይ ማንኪያው	{0} kHz	3 kHz ዩኬ የሻይ ማንኪያው
frequency	megahertz	nominative	{0} MHz	የዩኬ 1 MHz የሻይ ማንኪያ	{0} MHz	የዩኬ 3 MHz የሻይ ማንኪያ
frequency	megahertz	accusative	{0} MHz	1 MHz ዩኬ የሻይ ማንኪያው	{0} MHz	3 MHz ዩኬ የሻይ ማንኪያው
frequency	gigahertz	nominative	{0} GHz	የዩኬ 1 GHz የሻይ ማንኪያ	{0} GHz	የዩኬ 3 GHz የሻይ ማንኪያ
frequency	gigahertz	accusative	{0} GHz	1 GHz ዩኬ የሻይ ማንኪያው	{0} GHz	3 GHz ዩኬ የሻይ ማንኪያው
graphics	pixel • ( = 1 dot)	nominative	{0} ፒክስል	የዩኬ 1 ፒክስል የሻይ ማንኪያ	{0} ፒክስል	የዩኬ 3 ፒክስል የሻይ ማንኪያ
graphics	pixel • ( = 1 dot)	accusative	{0} ፒክስል	1 ፒክስል ዩኬ የሻይ ማንኪያው	{0} ፒክስል	3 ፒክስል ዩኬ የሻይ ማንኪያው
graphics	megapixels	nominative	{0} ሜጋ ፒክስል	የዩኬ 1 ሜጋ ፒክስል የሻይ ማንኪያ	{0} ሜጋ ፒክስል	የዩኬ 3 ሜጋ ፒክስል የሻይ ማንኪያ
graphics	megapixels	accusative	{0} ሜጋ ፒክስል	1 ሜጋ ፒክስል ዩኬ የሻይ ማንኪያው	{0} ሜጋ ፒክስል	3 ሜጋ ፒክስል ዩኬ የሻይ ማንኪያው
illuminance	lux	nominative	{0} lx	የዩኬ 1 lx የሻይ ማንኪያ	{0} lx	የዩኬ 3 lx የሻይ ማንኪያ
illuminance	lux	accusative	{0} lux	1 lux ዩኬ የሻይ ማንኪያው	{0} lux	3 lux ዩኬ የሻይ ማንኪያው
length	picometers	nominative	{0} ፒኮሜትር	የዩኬ 1 ፒኮሜትር የሻይ ማንኪያ	{0} ፒኮሜትር	የዩኬ 3 ፒኮሜትር የሻይ ማንኪያ
length	picometers	accusative	{0} ፒኮሜትር	1 ፒኮሜትር ዩኬ የሻይ ማንኪያው	{0} ፒኮሜትር	3 ፒኮሜትር ዩኬ የሻይ ማንኪያው
